country_string,eastings,country,region,longitude,uk_region,postcode,latitude,northings,Transaction unique identifier,Price,Date of Transfer,Property Type,Old/New,Duration,District,County,PPDCategory Type,Record Status - monthly file only
England,646000,ENG,Suffolk,1.59688,East of England,IP15,52.15686,257100,{E915B399-7EEF-4473-ADF5-02511741CA0D},340000.0,2009-10-30,S,N,F,SUFFOLK COASTAL,SUFFOLK,A,A
England,646000,ENG,Suffolk,1.59688,East of England,IP15,52.15686,257100,{B703F214-DDB1-4E55-913D-43EE052C0821},445000.0,2013-07-19,D,N,F,SUFFOLK COASTAL,SUFFOLK,A,A
England,646000,ENG,Suffolk,1.59688,East of England,IP15,52.15686,257100,{FA2A06E6-AAD1-4736-90C1-4B5C67C52B7A},358500.0,2006-04-06,S,N,F,SUFFOLK COASTAL,SUFFOLK,A,A
England,646000,ENG,Suffolk,1.59688,East of England,IP15,52.15686,257100,{986BDBC2-62F2-4BA3-9ED3-DD9A1E90EAA0},250000.0,2009-10-20,T,N,F,SUFFOLK COASTAL,SUFFOLK,A,A
England,646000,ENG,Suffolk,1.59688,East of England,IP15,52.15686,257100,{441CDAA5-9372-4FA8-A458-51CADFA46F48},218000.0,2005-08-10,S,N,F,SUFFOLK COASTAL,SUFFOLK,A,A
England,646000,ENG,Suffolk,1.59688,East of England,IP15,52.15686,257100,{4DF032E7-55B4-4DFA-8936-660DA2270FE5},155000.0,2005-05-23,S,N,F,SUFFOLK COASTAL,SUFFOLK,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{24D9A836-7B4E-4CB8-9F97-06E9EAC85178},205000.0,2013-07-26,F,Y,L,SPELTHORNE,SURREY,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{120CCA78-B448-4ED5-80CA-19623821E99F},263000.0,2007-05-18,S,N,F,SPELTHORNE,SURREY,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{C7AE0664-017B-4D1A-9E99-D7F4507D0937},196500.0,2014-12-15,F,N,L,SPELTHORNE,SURREY,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{F40605EB-A4DB-4F03-87AF-969431CDF0C5},51000.0,1996-12-20,T,N,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{DAA04A19-E7CB-4DAD-A00F-78263F6521AF},78950.0,1997-09-04,S,N,F,SPELTHORNE,SURREY,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{10C36609-1D8D-4A51-AE7A-7BE21628C0E6},112995.0,2001-08-31,S,Y,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{79BDCE50-AAB2-4E32-91C9-3B092BBDA640},175000.0,2006-02-24,S,N,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{FEFDFB99-D848-47F7-ADEB-F419094B6EB9},45500.0,1996-03-29,S,N,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{73710A7A-1FA4-4082-B9A1-4C3BA84DE8F7},170000.0,2004-06-16,S,Y,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{8D7BC0BA-E367-4BF9-9901-205CCEC79C97},100000.0,1997-03-12,D,N,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{76D6320C-3967-4190-8FF5-BA9F3DB1BCA8},313000.0,2009-12-04,D,N,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{36339E58-F7EB-4541-910B-4A27E0254299},169995.0,2008-02-29,F,Y,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{266C6FF1-9C33-4CB2-AB8A-44AC48AD50DD},161500.0,2013-11-08,T,Y,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{0504FA37-440D-4659-810C-67A63108F109},335950.0,2002-05-24,D,Y,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{1849BBB2-3003-4411-902F-C25521998036},70000.0,1995-01-12,T,N,F,SPELTHORNE,SURREY,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{9AF160E3-3FC7-4197-B79F-AAB825FC1740},57000.0,2001-01-16,F,N,L,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{71F3DFC6-D6DA-4211-98B0-7C539D68C39E},97500.0,1997-12-05,S,N,F,SPELTHORNE,SURREY,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{180D7632-FD3B-40EC-B11D-402D94D5FA72},68000.0,1996-10-18,D,N,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{7C26D056-067A-49D2-B1C5-8CC66DF2C250},350000.0,2007-01-23,T,N,F,ASHFORD,KENT,A,A
England,600100,ENG,Kent,0.86075,South East England,TN23,51.13902,141700,{0EDBC987-00D5-49D9-8A5D-BA6549ACEBC5},80000.0,1996-05-20,S,N,F,SPELTHORNE,SURREY,A,A
